year,abbr,pres_margin,pres_margin_str,relative_margin,relative_margin_str,national_margin,national_margin_str,electoral_votes
1968,PA,0.0389449448685365,D+3.9,0.0624977516914877,D+6.2,-0.0235528068229511,R+2.4,29
1972,PA,-0.2033859458730986,R+20.3,0.0471233052719492,D+4.7,-0.2505092511450479,R+25.1,27
1976,PA,0.0271427818434719,D+2.7,0.0043957982886131,D+0.4,0.0227469835548588,D+2.3,27
1980,PA,-0.0772327173423326,R+7.7,0.0259184580461137,D+2.6,-0.1031511753884464,R+10.3,27
1984,PA,-0.074014629542433,R+7.4,0.1084523942980609,D+10.8,-0.1824670238404939,R+18.2,25
1988,PA,-0.0233909399067548,R+2.3,0.0532581658705917,D+5.3,-0.0766491057773465,R+7.7,25
1992,PA,0.1109705892203061,D+11.1,0.0385566724572323,D+3.9,0.0724139167630737,D+7.2,23
1996,PA,0.1032241072166508,D+10.3,0.0071436266996468,D+0.7,0.096080480517004,D+9.6,23
2000,PA,0.042969574336063,D+4.3,0.0378361159665824,D+3.8,0.0051334583694805,D+0.5,23
2004,PA,0.0251656419412478,D+2.5,0.0498259420647953,D+5.0,-0.0246603001235475,R+2.5,21
2008,PA,0.104594076309689,D+10.5,0.0291787307380835,D+2.9,0.0754153455716054,D+7.5,21
2012,PA,0.0546386800378365,D+5.5,0.0144408140533879,D+1.4,0.0401978659844485,D+4.0,20
2016,PA,-0.0075107161498032,R+0.8,-0.0307619959565244,R+3.1,0.0232512798067211,D+2.3,20
2020,PA,0.0117841051869811,D+1.2,-0.0335756372355927,R+3.4,0.0453597424225739,D+4.5,20
2024,PA,-0.0172638469212715,R+1.7,-0.0022671554870713,R+0.2,-0.0149966914342001,R+1.5,19
2028,PA,0.032518087617805405,D+3.3,-0.0016110956387815304,R+0.2,0.03412918325658693,D+3.4,19
2032,PA,-0.008165729800494029,R+0.8,-0.02409196998615003,R+2.4,0.015926240185656002,D+1.6,19
2036,PA,0.01659523033224212,D+1.7,0.010229670756674381,D+1.0,0.006365559575567741,D+0.6,19
2040,PA,0.015267593631471989,D+1.5,0.010541412243543114,D+1.1,0.004726181387928875,D+0.5,19
2044,PA,-0.025590334122097786,R+2.6,0.01547816058070572,D+1.5,-0.04106849470280351,R+4.1,19
1936,RI,0.1385163417381807,D+13.9,-0.1106647242615642,R+11.1,0.249181065999745,D+24.9,4
1940,RI,0.1356741003942836,D+13.6,0.0357029638611448,D+3.6,0.0999711365331388,D+10.0,4
1944,RI,0.1735660530780376,D+17.4,0.109578697420859,D+11.0,0.0639873556571785,D+6.4,4
1948,RI,0.163159467895958,D+16.3,0.1264362877751075,D+12.6,0.0367231801208505,D+3.7,4
1952,RI,-0.0184487770020375,R+1.8,0.0991401140785723,D+9.9,-0.1175888910806098,R+11.8,4
1956,RI,-0.165189662778728,R+16.5,0.0033821707624246,D+0.3,-0.1685718335411526,R+16.9,4
1960,RI,0.272554212470471,D+27.3,0.2727174405396114,D+27.3,-0.0001632280691403,R+0.0,4
1964,RI,0.6174354872615221,D+61.7,0.4008852332025644,D+40.1,0.2165502540589577,D+21.7,4
1968,RI,0.336586450225956,D+33.7,0.3601392570489072,D+36.0,-0.0235528068229511,R+2.4,4
1972,RI,-0.0620150929575835,R+6.2,0.1884941581874643,D+18.8,-0.2505092511450479,R+25.1,4
1976,RI,0.1134475463761204,D+11.3,0.0907005628212616,D+9.1,0.0227469835548588,D+2.3,4
1980,RI,0.1233211094907046,D+12.3,0.2264722848791511,D+22.6,-0.1031511753884464,R+10.3,4
1984,RI,-0.0365946048985058,R+3.7,0.1458724189419881,D+14.6,-0.1824670238404939,R+18.2,4
1988,RI,0.1175574110662126,D+11.8,0.1942065168435591,D+19.4,-0.0766491057773465,R+7.7,4
1992,RI,0.2368744563641635,D+23.7,0.1644605396010897,D+16.4,0.0724139167630737,D+7.2,4
1996,RI,0.3800842677499682,D+38.0,0.2840037872329641,D+28.4,0.096080480517004,D+9.6,4
2000,RI,0.3129823213519864,D+31.3,0.3078488629825058,D+30.8,0.0051334583694805,D+0.5,4
2004,RI,0.2115502115175627,D+21.2,0.2362105116411103,D+23.6,-0.0246603001235475,R+2.5,4
2008,RI,0.2839627501829155,D+28.4,0.20854740461131,D+20.9,0.0754153455716054,D+7.5,4
2012,RI,0.2803349195776424,D+28.0,0.2401370535931938,D+24.0,0.0401978659844485,D+4.0,4
2016,RI,0.1662140818531962,D+16.6,0.1429628020464751,D+14.3,0.0232512798067211,D+2.3,4
2020,RI,0.2119871976791852,D+21.2,0.1666274552566112,D+16.7,0.0453597424225739,D+4.5,4
2024,RI,0.1416240626789067,D+14.2,0.1566207541131068,D+15.7,-0.0149966914342001,R+1.5,4
2028,RI,0.20453513259768571,D+20.5,0.1704059493410988,D+17.0,0.03412918325658693,D+3.4,4
2032,RI,0.10388415739920116,D+10.4,0.08795791721354516,D+8.8,0.015926240185656002,D+1.6,4
2036,RI,0.14360328006542614,D+14.4,0.13723772048985838,D+13.7,0.006365559575567741,D+0.6,4
2040,RI,0.18104637361005452,D+18.1,0.17632019222212564,D+17.6,0.004726181387928875,D+0.5,4
2044,RI,0.14922498448438543,D+14.9,0.19029347918718895,D+19.0,-0.04106849470280351,R+4.1,4
1936,SC,0.9714822803780416,D+97.1,0.7223012143782968,D+72.2,0.249181065999745,D+24.9,8
1940,SC,0.9126515075628568,D+91.3,0.812680371029718,D+81.3,0.0999711365331388,D+10.0,8
1944,SC,1.0,D+100.0,0.9360126443428214,D+93.6,0.0639873556571785,D+6.4,8
1948,SC,1.0,D+100.0,0.9632768198791496,D+96.3,0.0367231801208505,D+3.7,8
1952,SC,0.0144303782623737,D+1.4,0.1320192693429835,D+13.2,-0.1175888910806098,R+11.8,8
1956,SC,0.2860915160888754,D+28.6,0.4546633496300281,D+45.5,-0.1685718335411526,R+16.9,8
1960,SC,0.024751284630722,D+2.5,0.0249145126998623,D+2.5,-0.0001632280691403,R+0.0,8
1964,SC,-0.1778911020146813,R+17.8,-0.394441356073639,R+39.4,0.2165502540589577,D+21.7,8
1968,SC,-0.1252934350279483,R+12.5,-0.1017406282049971,R+10.2,-0.0235528068229511,R+2.4,8
1972,SC,-0.4330661961937825,R+43.3,-0.1825569450487346,R+18.3,-0.2505092511450479,R+25.1,8
1976,SC,0.1313221808983181,D+13.1,0.1085751973434592,D+10.9,0.0227469835548588,D+2.3,8
1980,SC,-0.0127458654035691,R+1.3,0.0904053099848773,D+9.0,-0.1031511753884464,R+10.3,8
1984,SC,-0.2823755882824756,R+28.2,-0.0999085644419816,R+10.0,-0.1824670238404939,R+18.2,8
1988,SC,-0.2414429112883662,R+24.1,-0.1647938055110197,R+16.5,-0.0766491057773465,R+7.7,8
1992,SC,-0.0471369085448055,R+4.7,-0.1195508253078793,R+12.0,0.0724139167630737,D+7.2,8
1996,SC,-0.062239518439709,R+6.2,-0.1583199989567131,R+15.8,0.096080480517004,D+9.6,8
2000,SC,-0.1632421213530052,R+16.3,-0.1683755797224857,R+16.8,0.0051334583694805,D+0.5,8
2004,SC,-0.1727291651949841,R+17.3,-0.1480688650714365,R+14.8,-0.0246603001235475,R+2.5,8
2008,SC,-0.0908885837841826,R+9.1,-0.166303929355788,R+16.6,0.0754153455716054,D+7.5,8
2012,SC,-0.1061650940913074,R+10.6,-0.146362960075756,R+14.6,0.0401978659844485,D+4.0,9
2016,SC,-0.1492051272104804,R+14.9,-0.1724564070172015,R+17.2,0.0232512798067211,D+2.3,9
2020,SC,-0.1185321749916419,R+11.9,-0.1638919174142158,R+16.4,0.0453597424225739,D+4.5,9
2024,SC,-0.1812336522703814,R+18.1,-0.1662369608361812,R+16.6,-0.0149966914342001,R+1.5,9
2028,SC,-0.017401061378048144,R+1.7,-0.051530244634635076,R+5.2,0.03412918325658693,D+3.4,9
2032,SC,0.09814863205225487,D+9.8,0.08222239186659887,D+8.2,0.015926240185656002,D+1.6,9
2036,SC,0.10204866846941238,D+10.2,0.09568310889384464,D+9.6,0.006365559575567741,D+0.6,9
2040,SC,-0.11515491333151782,R+11.5,-0.1198810947194467,R+12.0,0.004726181387928875,D+0.5,9
2044,SC,-0.3992930128402562,R+39.9,-0.3582245181374527,R+35.8,-0.04106849470280351,R+4.1,9
1936,SD,0.1193929692360387,D+11.9,-0.1297880967637062,R+13.0,0.249181065999745,D+24.9,4
1940,SD,-0.1481809309820476,R+14.8,-0.2481520675151864,R+24.8,0.0999711365331388,D+10.0,4
1944,SD,-0.1665575070235612,R+16.7,-0.2305448626807398,R+23.1,0.0639873556571785,D+6.4,4
