year,abbr,D_votes,R_votes,house_margin,house_margin_str,relative_margin,relative_margin_str,national_margin,national_margin_str
2018,KS,464380,563190,-0.09615889915042285,R+9.6,-0.17062513978103666,R+17.1,0.07446624063061381,D+7.4
2020,KS,557258,775898,-0.16400181224102806,R+16.4,-0.19213725784014044,R+19.2,0.02813544559911237,D+2.8
2022,KS,425322,569567,-0.14498602356644813,R+14.5,-0.11243259680366113,R+11.2,-0.03255342676278699,R+3.3
1976,KY,605680,374086,0.23637684916602536,D+23.6,0.09546315406969388,D+9.5,0.14091369509633148,D+14.1
1978,KY,264798,207568,0.12115605272183011,D+12.1,0.03226930164010726,D+3.2,0.08888675108172285,D+8.9
1980,KY,610411,442309,0.1596834865871267,D+16.0,0.13276931888598126,D+13.3,0.02691416770114545,D+2.7
1982,KY,413286,280352,0.19164751642787736,D+19.2,0.07088754506931462,D+7.1,0.12075997135856274,D+12.1
1984,KY,656661,528862,0.10779967997246785,D+10.8,0.055447461703289166,D+5.5,0.052352218269178685,D+5.2
1986,KY,374742,252849,0.19422362653384131,D+19.4,0.09326226189856443,D+9.3,0.10096136463527688,D+10.1
1988,KY,534313,564433,-0.02741306908057003,R+2.7,-0.09432194834415965,R+9.4,0.06690887926358961,D+6.7
1990,KY,353439,397388,-0.05853412304032753,R+5.9,-0.1258189068466855,R+12.6,0.06728478380635798,D+6.7
1992,KY,721747,638166,0.06146054931455174,D+6.1,0.008119408352763688,D+0.8,0.053341140961788054,D+5.3
1994,KY,316037,450640,-0.17556676410013605,R+17.6,-0.09098317959394116,R+9.1,-0.0845835845061949,R+8.5
1996,KY,507431,730739,-0.1803532632837171,R+18.0,-0.1823192256710842,R+18.2,0.0019659623873670975,D+0.2
1998,KY,456218,637091,-0.16543630391773964,R+16.5,-0.1402555262591394,R+14.0,-0.02518077765860024,R+2.5
2000,KY,561752,824915,-0.18978096399496058,R+19.0,-0.17267161747187543,R+17.3,-0.017109346523085163,R+1.7
2002,KY,350924,693860,-0.3282362670178716,R+32.8,-0.2621302250524295,R+26.2,-0.0661060419654421,R+6.6
2004,KY,602085,1017379,-0.25643916752703366,R+25.6,-0.21555307619183944,R+21.6,-0.04088609133519423,R+4.1
2006,KY,601723,611780,-0.008287577368988787,R+0.8,-0.08179580929258182,R+8.2,0.07350823192359303,D+7.4
2008,KY,761209,955182,-0.1130121283553689,R+11.3,-0.21125400698690014,R+21.1,0.09824187863153123,D+9.8
2010,KY,506319,844369,-0.2502798573763889,R+25.0,-0.178419650221663,R+17.8,-0.07186020715472592,R+7.2
2012,KY,684744,1027582,-0.20021771555182832,R+20.0,-0.20460242696009232,R+20.5,0.004384711408263983,D+0.4
2014,KY,508151,887157,-0.2716289163396182,R+27.2,-0.19992108268237802,R+20.0,-0.07170783365724019,R+7.2
2016,KY,516904,1248140,-0.4142876891454264,R+41.4,-0.39962404019728875,R+40.0,-0.014663648948137663,R+1.5
2018,KY,612977,935304,-0.20818378575982008,R+20.8,-0.2826500263904339,R+28.3,0.07446624063061381,D+7.4
2020,KY,735419,1363964,-0.2993951079912527,R+29.9,-0.32753055359036504,R+32.8,0.02813544559911237,D+2.8
2022,KY,490921,953296,-0.32015618151565867,R+32.0,-0.28760275475287167,R+28.8,-0.03255342676278699,R+3.3
1976,LA,624098,364582,0.26248735687988023,D+26.2,0.12157366178354875,D+12.2,0.14091369509633148,D+14.1
1978,LA,65587,65320,0.0020396159105319045,D+0.2,-0.08684713517119094,R+8.7,0.08888675108172285,D+8.9
1980,LA,506648,259897,0.32190021459927337,D+32.2,0.2949860468981279,D+29.5,0.02691416770114545,D+2.7
1982,LA,6,2,0.5,D+50.0,0.37924002864143724,D+37.9,0.12075997135856274,D+12.1
1984,LA,6,2,0.5,D+50.0,0.4476477817308213,D+44.8,0.052352218269178685,D+5.2
1986,LA,288366,102278,0.4763621097469819,D+47.6,0.375400745111705,D+37.5,0.10096136463527688,D+10.1
1988,LA,88568,116244,-0.13512880104681366,R+13.5,-0.20203768031040326,R+20.2,0.06690887926358961,D+6.7
1990,LA,105856,4,0.9999244284904591,D+100.0,0.9326396446841012,D+93.3,0.06728478380635798,D+6.7
1992,LA,284913,398680,-0.16642505116348472,R+16.6,-0.21976619212527276,R+22.0,0.053341140961788054,D+5.3
1994,LA,4,3,0.14285714285714285,D+14.3,0.22744072736333776,D+22.7,-0.0845835845061949,R+8.5
1996,LA,339164,135994,0.4275840878192096,D+42.8,0.4256181254318425,D+42.6,0.0019659623873670975,D+0.2
1998,LA,213151,97048,0.37428553928284747,D+37.4,0.3994663169414477,D+39.9,-0.02518077765860024,R+2.5
2000,LA,359669,747115,-0.35006469193627665,R+35.0,-0.3329553454131915,R+33.3,-0.017109346523085163,R+1.7
2002,LA,448191,793667,-0.27819283686218554,R+27.8,-0.21208679489674342,R+21.2,-0.0661060419654421,R+6.6
2004,LA,478182,780434,-0.24014631944929987,R+24.0,-0.19926022811410565,R+19.9,-0.04088609133519423,R+4.1
2006,LA,309279,579702,-0.30419435286018487,R+30.4,-0.3777025847837779,R+37.8,0.07350823192359303,D+7.4
2008,LA,398475,594307,-0.19725579230888554,R+19.7,-0.2954976709404168,R+29.5,0.09824187863153123,D+9.8
2010,LA,311221,675387,-0.3691091091902762,R+36.9,-0.29724890203555027,R+29.7,-0.07186020715472592,R+7.2
2012,LA,359190,1143027,-0.5217867991109141,R+52.2,-0.5261715105191781,R+52.6,0.004384711408263983,D+0.4
