feature,PC1,PC2,PC3,PC4,PC5
lockedR_delta,0.01874467290476162,0.23987378279478874,0.11586453833483086,-0.2623681024171343,0.6782145995949203
safeR_delta,0.7176981582598223,-0.0351985060986588,-0.11198089437525119,-0.09819545106702982,0.029563767475825828
leanR_delta,0.6761753000583475,0.014844547634467718,0.07668426627611764,0.10946686264879484,-0.0005517454424889995
tiltR_delta,-0.14424522784781652,-0.24237004607686904,-0.51473120484189,0.03206908067081494,0.29810566968008545
swing_delta,-0.06096697723523743,-0.09852994276070619,0.8337681503071239,0.02265984462779902,0.10516073847032152
tiltD_delta,-0.02750422933514223,0.1780931604803156,0.007547248637761581,-0.2669749483622974,-0.6605465903921088
leanD_delta,-0.00413294999567499,0.04595507185370716,0.015027411651662416,0.8958918708446436,-0.006050084134831444
safeD_delta,-0.04497849883993289,0.632340825983543,-0.07603172600539732,-0.06404795230426946,0.052906264347299
lockedD_delta,-0.004966600870391767,-0.6624695626226467,0.04443042009944186,-0.17319277184409387,-0.008209172370223916
