feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7
lockedR_delta,-0.46831702340456827,0.08855038763049225,-0.03311129995902444,-0.4655680458213739,-0.29541511236918094,0.28997758893940057,0.4517784391248125
safeR_delta,0.49840517561712633,-0.21248836025615425,-0.029265122226150783,-0.07020955166391982,-0.09106118436713487,-0.22829073207041062,0.7676920580538387
leanR_delta,-0.22391170645150474,-0.424967460420089,0.1678450213255162,0.7251503852758253,0.01378178448588413,0.028311688818909907,0.21997818602817226
tiltR_delta,-0.07538537691962259,0.627138285484179,0.15774356502389789,0.11820858061147785,0.18011942032185996,-0.616325647422073,0.17644192872973044
swing_delta,0.007520976403699309,-0.3463213936902731,0.47256214175700756,-0.38593741805748116,0.6546678129852933,0.02221501055408632,0.02381271750329203
tiltD_delta,0.3881332742147489,-0.2680557396633887,-0.36314712778602776,-0.15351775890986014,-0.22088233060938908,-0.19457358066272354,-0.24590621373597144
leanD_delta,0.3648060143477473,0.4007039172338091,-0.1586890098680811,0.2283167376883984,0.30718413086055885,0.648402944430715,0.18192197015704348
safeD_delta,-0.4229546512010945,-0.11941668338361638,-0.40001023058930846,0.09592274046639222,0.10511444948509072,-0.07636094750272497,0.1756312296593885
lockedD_delta,0.11736255984151725,0.08056918281379837,0.6360904104572447,0.06823170791152182,-0.53760091317572,0.1361165916920678,-0.04521223147064825
