index,color
CA,BLUE
CO,BLUE
CT,BLUE
DC,BLUE
DE,BLUE
HI,BLUE
IL,BLUE
MA,BLUE
MD,BLUE
ME-01,BLUE
ME-AL,BLUE
MN,BLUE
NE-02,BLUE
NH,BLUE
NJ,BLUE
NM,BLUE
NY,BLUE
OR,BLUE
PA,BLUE
RI,BLUE
VA,BLUE
VT,BLUE
WA,BLUE
WI,BLUE
TX,blue
AL,RED
KY,RED
NE-03,RED
TN,RED
WV,RED
WY,RED
