year,PC1,PC2,PC3,PC4,PC5,PC6,PC7
2000,-1.1652117856579856,-2.799246799901687,-1.973263698201354,-0.5506345061261466,0.2120697207384564,-0.04510771012859896,2.607393035778331e-16
2004,-1.3922210577905052,-0.21880298678028015,1.0744759354823108,-0.29185842715487,-0.18935592458340897,0.4009473509841301,2.607393035778334e-16
2008,0.7233261174163786,-1.0112853543353466,2.2491413585781084,-1.009436561542048,-0.13015759314905107,-0.22963574117436203,2.607393035778331e-16
2012,0.7679699935211661,-1.0360843820185897,0.21289154275131886,2.141935880797649,-0.30985188939694597,-0.04507037669453808,2.6073930357783313e-16
2016,2.552923940553723,1.5471880591369978,-1.4803323029683615,-0.7047572687094167,-0.5210820653123137,0.03664368984425683,2.6073930357783323e-16
2020,1.5601319349340406,1.0268491964270323,0.2024783223184499,0.23880268943542116,0.9778550553732468,0.0551231870174895,2.607393035778328e-16
2024,-3.0469191429768188,2.491382267471873,-0.28539115796047176,0.1759481932994117,-0.03947730366998253,-0.1729003998483777,2.60739303577833e-16
