year,lockedR,safeR,leanR,tiltR,swing,tiltD,leanD,safeD,lockedD
2000,0.13940520446096655,0.13197026022304834,0.055762081784386616,0.03531598513011153,0.2992565055762082,0.020446096654275093,0.0,0.2211895910780669,0.09665427509293681
2004,0.14684014869888476,0.17472118959107807,0.01858736059479554,0.03531598513011153,0.2211895910780669,0.06319702602230483,0.048327137546468404,0.19330855018587362,0.09851301115241635
2008,0.16171003717472118,0.13568773234200743,0.0055762081784386614,0.0687732342007435,0.20631970260223048,0.03717472118959108,0.09293680297397769,0.20817843866171004,0.08364312267657993
2012,0.22676579925650558,0.12825278810408922,0.0,0.027881040892193308,0.23234200743494424,0.03903345724907063,0.013011152416356878,0.2342007434944238,0.09851301115241635
2016,0.21189591078066913,0.137546468401487,0.0,0.07806691449814127,0.22490706319702602,0.00929368029739777,0.01858736059479554,0.10594795539033457,0.2137546468401487
2020,0.20074349442379183,0.14869888475836432,0.0,0.08178438661710037,0.18029739776951673,0.03345724907063197,0.016728624535315983,0.17843866171003717,0.15985130111524162
2024,0.1449814126394052,0.23048327137546468,0.031598513011152414,0.0,0.18029739776951673,0.07806691449814127,0.007434944237918215,0.14684014869888476,0.18029739776951673
