year,nat_delta
1980,7.251883642834644e-05
1984,-0.0016682114774571825
1988,0.0021752785528634955
1992,0.0015177116759253267
1996,0.0006026068171886552
2000,0.0005799346973095615
2004,-0.0004018995229543809
2008,0.001875931198355548
2012,7.911388531871646e-05
2016,-0.00048233058465010773
2020,-0.0014377575100293126
2024,0.004625144101229923
