index,color
CA,BLUE
CO,BLUE
CT,BLUE
DC,BLUE
DE,BLUE
HI,BLUE
IL,BLUE
MA,BLUE
MD,BLUE
ME-01,BLUE
MN,BLUE
NE-02,BLUE
NH,BLUE
NJ,BLUE
NM,BLUE
NY,BLUE
OR,BLUE
RI,BLUE
VA,BLUE
VT,BLUE
WA,BLUE
PA,Blue
AL,RED
ID,RED
KY,RED
NE-03,RED
OK,RED
TN,RED
WV,RED
WY,RED
