index,color
CA,BLUE
CO,BLUE
CT,BLUE
DC,BLUE
DE,BLUE
HI,BLUE
IL,BLUE
MA,BLUE
MD,BLUE
ME-01,BLUE
MN,BLUE
NM,BLUE
NY,BLUE
OR,BLUE
RI,BLUE
VT,BLUE
WA,BLUE
AL,RED
AR,RED
ID,RED
KY,RED
NE-03,RED
OK,RED
TN,RED
WV,RED
WY,RED
MO,Red
