abbr,year,rel_margin_change
AK,1980,0.01737594742746279
AK,1984,0.0444139597774294
AK,1988,0.0322688485203356
AK,1992,-0.03557540039818188
AK,1996,-0.09953938005277901
AK,2000,-0.0575104381125226
AK,2004,0.1252748282909809
AK,2008,-0.05603011151284529
AK,2012,0.11116968225822091
AK,2016,-0.0027386824582540936
AK,2020,0.04155252040106139
AK,2024,0.029382117851795106
AK,2028,-0.01964005919235079
AK,2032,-0.028468267974366607
AK,2036,-0.08706621223978389
AK,2040,0.07635767763400189
AK,2044,-0.0263617858000606
AK,2048,-0.058735877048784385
AK,2052,0.05463257585669379
AK,2056,-0.027441798406196705
AK,2060,-0.017997489585538096
AK,2064,0.012713971452279205
AK,2068,0.007505070357463894
AK,2072,0.009411597991744597
AK,2076,0.034263907286638
AK,2080,0.0451719698407739
AK,2084,0.01592555612250149
AK,2088,-0.054580126357661185
AK,2092,-0.060556402019703415
AK,2096,0.032195692589010116
AK,2100,0.05192098682072979
AL,1980,-0.021338160845219903
AL,1984,-0.1321926410506412
AL,1988,-0.0752265166843369
AL,1992,-0.02886766954612799
AL,1996,-0.020709464585225296
AL,2000,0.015197067692541921
AL,2004,-0.07475507197769968
AL,2008,-0.05912270083163809
AL,2012,0.029673277960185818
AL,2016,-0.04448969907856093
AL,2020,0.008331775868806679
AL,2024,0.010491652295523901
AL,2028,0.15652520940422668
AL,2032,0.0536056804765665
AL,2036,0.0561287630064584
AL,2040,-0.018144980956377402
AL,2044,-0.017973990614021204
AL,2048,-0.05849068353150179
AL,2052,-0.018607625308049117
AL,2056,-0.03144683087638489
AL,2060,0.026139119986941906
AL,2064,-0.022650174801443212
AL,2068,-0.009271315984448886
AL,2072,-0.0568436859853336
AL,2076,0.02304677626083229
AL,2080,-0.039503642446089116
AL,2084,0.02388540233926631
AL,2088,-0.013862921585852783
AL,2092,-0.08666485573236879
AL,2096,0.04792892603351667
AL,2100,-0.0293891202084704
AR,1980,-0.1818480635697839
AR,1984,-0.13860914334547741
AR,1988,-0.0248641479723447
AR,1992,0.1963216872749059
AR,1996,-0.03524341473684671
AR,2000,-0.1504118044581409
AR,2004,-0.011639658183616196
AR,2008,-0.20397951998681907
AR,2012,-0.0034739012527608137
AR,2016,-0.023946044638917086
AR,2020,-0.01946951110756745
AR,2024,0.03192519505900382
AR,2028,0.18200216545173412
AR,2032,0.11461519244249
AR,2036,0.0384095632436971
AR,2040,-0.0420578622908143
AR,2044,-0.0332720339106175
AR,2048,-0.0689587762885285
AR,2052,0.010375120216653308
AR,2056,-0.015959891565529807
AR,2060,-0.042582973846333
AR,2064,0.0008253116884618938
AR,2068,-0.08563185106152679
AR,2072,0.014669076301270012
AR,2076,0.031766388959881486
AR,2080,-0.02198726875476889
AR,2084,0.014899970984818683
AR,2088,-0.013294744839102285
AR,2092,-0.03986561539344019
AR,2096,-0.025325384780427507
AR,2100,-0.027694968525463604
AZ,1980,-0.06645259145610949
AZ,1984,0.1014556850815164
AZ,1988,0.021881665031345893
AZ,1992,0.041475242649764904
AZ,1996,0.028058931987817795
AZ,2000,0.0025310766655024936
AZ,2004,-0.008786600625644791
AZ,2008,-0.0800379865883907
AZ,2012,0.030190203475749078
AZ,2016,0.07313573858517451
AZ,2020,0.020013502260061697
AZ,2024,0.0020565814223882997
AZ,2028,0.0014974581855402985
AZ,2032,-0.08928999008211451
AZ,2036,-0.03273946666898278
AZ,2040,0.021455699591937688
AZ,2044,-0.04520612230223109
AZ,2048,-0.029038015206459294
AZ,2052,0.026796009597714887
AZ,2056,0.0692517471528525
AZ,2060,0.017529871800069305
AZ,2064,0.0010275496454933974
AZ,2068,-0.016246730543783394
AZ,2072,-0.019044598165230603
AZ,2076,0.0448763186692666
AZ,2080,0.0442889807891792
AZ,2084,0.0271876729810248
AZ,2088,0.0034708145383699016
AZ,2092,-0.009420919149612501
AZ,2096,-0.0061868390594268
AZ,2100,0.009832708473102702
CA,1980,-0.04545286019515671
CA,1984,0.1043902945751708
CA,1988,0.0227614299675113
CA,1992,0.059124277805253
CA,1996,-0.0484638414777089
CA,2000,0.0723929784074418
CA,2004,0.0078281257163368
CA,2008,0.045482509969429485
CA,2012,0.0280670249917106
CA,2016,0.10377678972056512
CA,2020,-0.045309782984559954
CA,2024,-0.029098981555076286
CA,2028,-0.09129712825024361
CA,2032,-0.10958909789985119
CA,2036,-0.024550727475381
CA,2040,0.0065635475853073
CA,2044,0.0813838162921037
CA,2048,-0.05679109863630891
CA,2052,0.073866591057106
CA,2056,-0.012978963761888798
CA,2060,0.08388645603902041
CA,2064,-0.03154537878652791
CA,2068,0.012168661122175406
CA,2072,-0.0851212558709179
CA,2076,-0.0123839254582217
CA,2080,0.07229195474741049
CA,2084,0.05183704777543682
CA,2088,-0.009506434043341505
CA,2092,0.013508442105437696
CA,2096,-0.02651732428663739
CA,2100,0.09203216945366027
CO,1980,-0.034932842772330414
CO,1984,0.07083990737921468
CO,1988,0.1026558533341448
CO,1992,-0.012238710223403702
CO,1996,-0.0936800337705545
CO,2000,0.018124236784353098
CO,2004,0.07345532434205129
CO,2008,0.0390772122224915
CO,2012,0.00012686597806819966
CO,2016,0.017375503301498202
CO,2020,0.0641761230490406
CO,2024,0.03524083899763439
CO,2028,-0.09688122941516258
CO,2032,-0.0608240798962918
CO,2036,-0.0299270638768192
CO,2040,0.028308169715268103
CO,2044,-0.0432030687653174
CO,2048,-0.062235413561803496
CO,2052,0.034858478939880796
CO,2056,0.018939886015586688
CO,2060,0.04531508813230271
CO,2064,-0.057758124326761605
