rank,E_EV,E_VAR,E_SHOCK,E_RESID,E_TOTAL,evd,shock_frac,n_avail
0,0.13888840343354888,0.347184553441732,0.0,1.293647942863234,1.7797208997385148,-1.895151770636705e-05,0.08778280542986425,56.0
24,0.016800161349484928,0.44919720319580214,0.0,1.734056665193657,2.2000540297389444,0.0008532359104325288,0.07239819004524888,56.0
9,0.10851762128824272,0.5190439664552501,0.0,1.5875408504749848,2.2151024382184774,5.61608499389354e-05,0.09049773755656108,56.0
2,0.00334613952784413,0.7943694172239293,0.0,1.5596274625997515,2.357343019351525,0.0005277258454701741,0.12398190045248868,56.0
3,0.1852609667855521,0.5697445575395799,0.0,1.6776845747636095,2.4326900990887417,-0.00011921575535076955,0.12669683257918551,56.0
34,0.24383079743634734,0.37554784465248897,0.0,1.8439295306279664,2.4633081727168027,0.001485597075513466,0.07239819004524888,56.0
37,0.01799917484606336,0.5817315085970635,0.0,1.8902819467706231,2.4900126302137497,0.0008611288895722141,0.07239819004524888,56.0
42,0.13962741178933583,0.5772490523104911,0.0,1.7913221344608616,2.5081985985606883,-2.0670861353543155e-05,0.06968325791855204,56.0
43,0.2863438953328396,0.45221658367482914,0.0,1.7924086307276967,2.5309691097353655,0.0015573436300677,0.06968325791855204,56.0
15,0.02585118394293968,0.5387292314028952,0.0,1.9818298387086108,2.5464102540544458,0.0003489843977266124,0.11855203619909503,56.0
11,0.0002852119776723058,0.7150372735951943,0.0,1.8314964319893277,2.5468189175621943,0.0006574949710430214,0.12398190045248868,56.0
1,0.029923399177316224,0.7928500358760816,0.0,1.7374220727803988,2.5601955078337966,0.0009285412966593506,0.1936651583710407,56.0
14,0.24429256374462882,0.5324681591616092,0.0,1.8039876717707235,2.5807483946769616,0.0014864085883282193,0.12398190045248868,56.0
84,0.2539277120812,0.4241343256588421,0.0,1.9561177566239754,2.6341797943640177,0.001503169818895242,0.05429864253393665,56.0
5,0.24385991354956946,0.789841234189919,0.0,1.6406319425895424,2.6743330903290308,0.0014856482671537752,0.14479638009049775,56.0
17,0.4621125394152086,0.4241240458148195,0.0,1.791576880267741,2.6778134654977688,-0.0005522233162273196,0.12669683257918551,56.0
255,0.05034612965607559,0.4327641735163452,0.0,2.2398988096579786,2.7230091128303995,0.0010177852907573125,0.0,56.0
28,0.019056652453067816,0.5516974670942979,0.0,2.1589445556924485,2.7296986752398142,0.0008678745586837826,0.10588235294117647,56.0
4,0.00886241423743293,0.9308515330879614,0.0,1.8075956608311332,2.7473096081565274,0.0004647035014525593,0.16289592760180996,56.0
7,0.017444261596865168,1.0897106681151036,0.0,1.7077400980176465,2.814895027729615,0.0003988303869775873,0.26334841628959277,56.0
6,0.0008243046950756794,1.1976127226774713,0.0,1.644793814569926,2.843230841942473,0.0005783164273755262,0.17828054298642534,56.0
13,0.016467191937731905,1.1351452819391874,0.0,1.7035281150001909,2.85514058887711,0.0008509944114809907,0.2660633484162896,56.0
8,0.3557168105479597,1.0342184592048398,0.0,1.4722124405755332,2.862147710328333,-0.0004074610361675165,0.18099547511312217,56.0
12,0.184232141148117,0.9005601856949867,0.0,1.7886029478313272,2.873395274674431,0.0013734777168236678,0.1755656108597285,56.0
212,0.1876678587496681,0.5316989722039315,0.0,2.155938140655508,2.8753049716091077,0.0013803951805712645,0.01809954751131222,56.0
166,0.010358868327847614,0.3139918552017362,0.0,2.5751872943951573,2.899538017924741,0.0008048995530440849,0.0334841628959276,56.0
126,0.2413336701859946,0.49518757380094225,0.0,2.166876948728367,2.9033981927153034,-0.00022485511121474048,0.05158371040723982,56.0
29,2.4496548334370365e-05,1.38351213444233,0.0,1.5272188895949426,2.910755520585607,0.000636764253357131,0.31221719457013575,56.0
10,0.009472860947008336,0.9820299909631226,0.0,1.9290487302604828,2.9205515821706136,0.0007971726872196098,0.22986425339366515,56.0
25,0.032350930621770635,0.49474856144426066,0.0,2.4034168120525248,2.930516304118556,0.0003158525880436313,0.1420814479638009,56.0
63,0.10952673378604125,0.47645757390214516,0.0,2.3872040043456226,2.973188312033809,5.350742863574707e-05,0.09049773755656108,56.0
16,0.0029863676003317272,1.0796713574345314,0.0,1.903713904466822,2.986371629501685,0.0005332791661799485,0.2425339366515837,56.0
21,0.09003558895007974,0.884990726360442,0.0,2.032464454824885,3.0074907701354068,0.0011491967692596767,0.1755656108597285,56.0
68,0.4142364174483805,0.5303435998312371,0.0,2.0687948852602265,3.0133749025398444,-0.0004894058347117035,0.09049773755656108,56.0
100,0.33452434796354247,0.5309196439585194,0.0,2.1516605913422584,3.01710458326432,-0.00037613755084023835,0.07239819004524888,56.0
32,0.09453059576460801,0.7688381555869984,0.0,2.1592550409946023,3.0226237923462085,0.001162044439517312,0.12669683257918551,56.0
18,0.09692485213347828,0.9872824421708042,0.0,1.957607451026612,3.0418147453308944,8.757700431924519e-05,0.232579185520362,56.0
253,0.9988026174907021,0.2667711227888223,0.0,1.783396666131777,3.0489704064113017,0.0023635425977694986,0.01809954751131222,56.0
188,5.888354385121971e-06,0.3590361039328777,0.0,2.691676205757676,3.050718198044939,0.0006239564892651227,0.03619909502262444,56.0
143,0.1959218760705294,0.4281225397740247,0.0,2.4292578400337073,3.053302255878261,-0.0001404192741360638,0.05429864253393665,56.0
19,0.4797967635137136,0.9128567003078576,0.0,1.6642608890524775,3.0569143528740486,0.0018309371629646473,0.1936651583710407,56.0
20,0.16140728792532888,1.026005579615171,0.0,1.8852233836473338,3.072636251187834,0.001325782880200987,0.232579185520362,56.0
52,0.17732182599429677,0.6051782999695743,0.0,2.2930598323614784,3.0755599583253495,-0.00010302624072513512,0.1085972850678733,56.0
22,0.1608610233746543,0.8926277716299234,0.0,2.0397747055196236,3.093263500524201,0.00132460138418811,0.1936651583710407,56.0
86,0.3103051907969148,0.3346395937414684,0.0,2.4589698228239745,3.103914607362358,0.00159543936002148,0.09049773755656108,56.0
54,0.003681215467057973,0.7642992551069553,0.0,2.3378672329497703,3.1058477035237835,0.000522816668213865,0.1085972850678733,56.0
88,0.06563582000461057,0.5975916315018028,0.0,2.4578397119127127,3.1210671634191263,0.00018331007035084137,0.09049773755656108,56.0
23,0.0035329583480131687,0.7218728662541127,0.0,2.3973886091621974,3.1227944337643234,0.000524959968758757,0.22986425339366515,56.0
36,0.5468446533107866,0.7513132922689545,0.0,1.8448751707277256,3.1430331163074667,-0.0006558886235817399,0.13936651583710408,56.0
203,0.4184511898915145,0.4216785567542595,0.0,2.325614691307774,3.165744437953548,0.0017514171123034937,0.03619909502262444,56.0
26,0.051591121032078524,0.875612640451887,0.0,2.2472386729750644,3.17444243445903,0.001022573199574388,0.232579185520362,56.0
79,0.4405019149517661,0.5086651304321863,0.0,2.2256388994315954,3.1748059448155477,0.0017806325112247386,0.1004524886877828,56.0
31,0.05251440462011465,1.230494300558556,0.0,1.9170002088463791,3.20000891402505,0.0010260867030128717,0.27601809954751133,56.0
27,0.2767679893254975,0.87437224550811,0.0,2.0500552876369835,3.201195522470591,-0.0002853347048068758,0.19638009049773755,56.0
51,0.6129362251991712,0.4999509608500936,0.0,2.095839146396383,3.2087263324456474,0.00198761157680547,0.12398190045248868,56.0
293,0.43028099959166133,0.334400783395348,0.0,2.445470931217429,3.2101527142044386,0.001767183814205912,0.01809954751131222,56.0
50,0.056931629945690364,0.5792217496741587,0.0,2.588769853618218,3.224923233238067,0.0002138559739306321,0.12669683257918551,56.0
35,0.1411029690398614,0.7776552245457674,0.0,2.3181560232861362,3.236914216871765,0.001280430379533971,0.15746606334841629,56.0
62,0.5905964282013273,1.465072979789942,0.0,1.199305376209721,3.25497478420099,0.0019626077272128315,0.31493212669683257,56.0
