year,prev,E_EV,E_VAR,E_SHOCK,E_RESID,E_TOTAL,evd,shock_frac,n_avail
1980,1976,,1.5961664524126993,1.3226792544100963,0.419553323803092,,-0.0006180223942639044,0.37735849056603776,53.0
1984,1980,,2.214388887248169,3.2127289302810187,0.18532261099355868,,-0.0009014980032288546,0.4716981132075472,53.0
1988,1984,,1.0371461332741199,3.7423021005264264e-05,2.2957816610254094,,0.002873965772346508,0.20754716981132076,53.0
1992,1988,,1.123897137758558,0.404767395192949,0.8355165990419665,,0.003404589803699986,0.3018867924528302,53.0
1996,1992,,1.1416955879342083,0.16363274408022555,0.3883756241563097,,0.0006036755094050062,0.26785714285714285,56.0
2000,1996,,1.0083762263442182,0.026032973721490882,0.2998552139101883,,-0.0014604959508630836,0.23214285714285715,56.0
2004,2000,,0.6282834282678371,1.1119554857417753,1.5335149506803964,,0.0016472979138065407,0.05357142857142857,56.0
2008,2004,,1.1826094273382188,0.026032973721490882,0.38277751086915246,,0.001912961604050887,0.23214285714285715,56.0
2012,2008,,0.46074178314749537,0.8703191322537003,2.1782321299145053,,4.611139430869414e-05,0.07142857142857142,56.0
2016,2012,,1.3255953243445282,0.16363274408022555,0.028324507923835274,,-0.00045106239221256355,0.26785714285714285,56.0
2020,2016,,0.3082543172640281,2.0142566825873973,1.749669790147101,,-0.0014854734116077637,0.0,56.0
2024,2020,,0.34495311868604145,1.6839242609086242,1.9032282665450522,,0.019449916590186966,0.017857142857142856,56.0
