year,lockedR,safeR,leanR,tiltR,swing,tiltD,leanD,safeD,lockedD,lockedR_delta,safeR_delta,leanR_delta,tiltR_delta,swing_delta,tiltD_delta,leanD_delta,safeD_delta,lockedD_delta
2000,0.1394052044609665,0.1319702602230483,0.0557620817843866,0.0353159851301115,0.2992565055762082,0.020446096654275,0.0,0.2211895910780669,0.0966542750929368,0.0910780669144981,-0.1152416356877323,0.0334572490706319,0.0,-0.0501858736059479,-0.0464684014869888,-0.070631970260223,0.1579925650557621,0.0
2004,0.1468401486988847,0.174721189591078,0.0185873605947955,0.0353159851301115,0.2211895910780669,0.0631970260223048,0.0483271375464684,0.1933085501858736,0.0985130111524163,0.0074349442379182,0.0427509293680297,-0.037174721189591,0.0,-0.0780669144981413,0.0427509293680297,0.0483271375464684,-0.0278810408921932,0.0018587360594795
2008,0.1617100371747211,0.1356877323420074,0.0055762081784386,0.0687732342007435,0.2063197026022304,0.037174721189591,0.0929368029739776,0.20817843866171,0.0836431226765799,0.0148698884758364,-0.0390334572490706,-0.0130111524163568,0.0334572490706319,-0.0148698884758364,-0.0260223048327137,0.0446096654275092,0.0148698884758364,-0.0148698884758364
2012,0.2267657992565055,0.1282527881040892,0.0,0.0278810408921933,0.2323420074349442,0.0390334572490706,0.0130111524163568,0.2342007434944238,0.0985130111524163,0.0650557620817844,-0.0074349442379182,-0.0055762081784386,-0.0408921933085501,0.0260223048327137,0.0018587360594795,-0.0799256505576208,0.0260223048327137,0.0148698884758364
2016,0.2118959107806691,0.137546468401487,0.0,0.0780669144981412,0.224907063197026,0.0092936802973977,0.0185873605947955,0.1059479553903345,0.2137546468401487,-0.0148698884758364,0.0092936802973977,0.0,0.0501858736059479,-0.0074349442379182,-0.0297397769516728,0.0055762081784386,-0.1282527881040892,0.1152416356877323
2020,0.2007434944237918,0.1486988847583643,0.0,0.0817843866171003,0.1802973977695167,0.0334572490706319,0.0167286245353159,0.1784386617100371,0.1598513011152416,-0.0111524163568773,0.0111524163568773,0.0,0.0037174721189591,-0.0446096654275093,0.0241635687732341,-0.0018587360594795,0.0724907063197026,-0.053903345724907
2024,0.1449814126394052,0.2304832713754646,0.0315985130111524,0.0,0.1802973977695167,0.0780669144981412,0.0074349442379182,0.1468401486988847,0.1802973977695167,-0.0557620817843866,0.0817843866171003,0.0315985130111524,-0.0817843866171003,0.0,0.0446096654275093,-0.0092936802973977,-0.0315985130111524,0.0204460966542751
