year,lockedR,safeR,leanR,tiltR,swing,tiltD,leanD,safeD,lockedD
1976,0.007434944237918215,0.027881040892193308,0.05018587360594796,0.2843866171003718,0.36059479553903345,0.12453531598513011,0.10594795539033457,0.011152416356877323,0.027881040892193308
1980,0.02973977695167286,0.04275092936802974,0.048327137546468404,0.22676579925650558,0.29182156133828996,0.14869888475836432,0.17657992565055763,0.02973977695167286,0.0055762081784386614
1984,0.00929368029739777,0.022304832713754646,0.120817843866171,0.2100371747211896,0.31970260223048325,0.11524163568773234,0.1970260223048327,0.0,0.0055762081784386614
1988,0.0,0.00929368029739777,0.20631970260223048,0.19516728624535315,0.17843866171003717,0.2211895910780669,0.18401486988847585,0.0,0.0055762081784386614
1992,0.00929368029739777,0.027881040892193308,0.18773234200743494,0.18587360594795538,0.21933085501858737,0.25650557620817843,0.10780669144981413,0.0,0.0055762081784386614
1996,0.031598513011152414,0.016728624535315983,0.24721189591078066,0.05762081784386617,0.22862453531598512,0.258364312267658,0.06319702602230483,0.09107806691449814,0.0055762081784386614
2000,0.03717472118959108,0.10223048327137546,0.13197026022304834,0.1579925650557621,0.19144981412639406,0.06133828996282528,0.2211895910780669,0.08364312267657993,0.013011152416356878
2004,0.031598513011152414,0.11524163568773234,0.17472118959107807,0.07434944237918216,0.16171003717472118,0.15055762081784388,0.19330855018587362,0.09293680297397769,0.0055762081784386614
2008,0.03531598513011153,0.12639405204460966,0.13568773234200743,0.12453531598513011,0.15613382899628253,0.13011152416356878,0.20817843866171004,0.06505576208178439,0.01858736059479554
2012,0.046468401486988845,0.18029739776951673,0.12825278810408922,0.027881040892193308,0.23234200743494424,0.05204460966542751,0.2342007434944238,0.07992565055762081,0.01858736059479554
2016,0.08921933085501858,0.12267657992565056,0.137546468401487,0.07806691449814127,0.22490706319702602,0.027881040892193308,0.10594795539033457,0.20074349442379183,0.013011152416356878
2020,0.08921933085501858,0.11152416356877323,0.14869888475836432,0.13197026022304834,0.12267657992565056,0.05762081784386617,0.17843866171003717,0.14869888475836432,0.011152416356877323
2024,0.03903345724907063,0.10594795539033457,0.23048327137546468,0.05204460966542751,0.1524163568773234,0.09293680297397769,0.14684014869888476,0.15055762081784388,0.02973977695167286
