year,abbr,district,R_votes,D_votes,T_votes
2020,CA,11,90410,284861,383272
2020,CA,12,46574,337517,392128
2020,CA,13,33907,335474,377316
2020,CA,14,73798,279708,360168
2020,CA,15,94389,255422,357296
2020,CA,16,85647,129458,220529
2020,CA,17,79260,224903,310326
2020,CA,18,82172,294545,385996
2020,CA,19,91063,228232,325984
2020,CA,20,77969,226505,312146
2020,CA,21,74859,93560,172074
2020,CA,22,163584,146467,316834
2020,CA,23,176413,125068,308929
2020,CA,24,134810,221831,366502
2020,CA,25,153161,188421,349249
2020,CA,26,128914,216840,353297
2020,CA,27,104088,226666,337460
2020,CA,28,97112,252705,356476
2020,CA,29,59671,186796,252103
2020,CA,30,110935,258910,376861
2020,CA,31,115221,174178,296238
2020,CA,32,93155,184978,283909
2020,CA,33,120287,285906,414262
2020,CA,34,40552,193874,239944
2020,CA,35,83352,166339,255345
2020,CA,36,131304,173573,310310
2020,CA,37,45202,275573,326798
2020,CA,38,101867,207000,315673
2020,CA,39,154439,190090,351332
2020,CA,40,41875,156662,203218
2020,CA,41,96428,164574,266807
2020,CA,42,198259,170481,375949
2020,CA,43,61138,224694,292083
2020,CA,44,46174,188767,240722
2020,CA,45,181306,228624,418564
2020,CA,46,78247,150186,233507
2020,CA,47,115161,203636,326086
2020,CA,48,193832,199791,401759
2020,CA,49,167049,217061,393066
2020,CA,50,195430,166841,370888
2020,CA,51,76703,166289,248688
2020,CA,52,139172,257923,407020
2020,CA,53,119398,258866,386738
2020,CO,1,104864,358355,474361
2020,CO,2,178533,338297,528137
2020,CO,3,224996,200886,436221
2020,CO,4,276309,198971,488603
2020,CO,5,244530,186346,446736
2020,CO,6,175729,260642,448077
2020,CO,7,163104,263442,439311
2020,CT,1,127803,229220,362509
2020,CT,2,164461,205779,377943
2020,CT,3,137580,212317,354473
2020,CT,4,127566,237245,369939
2020,CT,5,157881,196119,359416
2020,DE,AL,200603,296268,504010
2020,DC,AL,18586,317323,344356
2020,FL,1,292048,143657,443208
2020,FL,2,263189,125993,393205
2020,FL,3,223087,170433,398455
2020,FL,4,306018,198489,512117
2020,FL,5,123621,215161,343470
2020,FL,6,263617,184593,452506
2020,FL,7,183414,226505,415474
2020,FL,8,272109,189808,467116
2020,FL,9,201924,232318,439154
2020,FL,10,141377,236868,382919
2020,FL,11,318054,164285,486155
2020,FL,12,266291,188631,460152
2020,FL,13,194721,211530,411893
2020,FL,14,158027,217177,380695
2020,FL,15,213736,179792,399144
2020,FL,16,262840,223366,491296
2020,FL,17,271177,155036,429789
2020,FL,18,244704,206388,454537
2020,FL,19,276165,182108,461814
2020,FL,20,72815,254658,329992
2020,FL,21,168216,237825,409269
2020,FL,22,171057,229644,403823
2020,FL,23,157621,224942,385578
2020,FL,24,71108,224408,297854
2020,FL,25,190679,118903,311710
2020,FL,26,184019,164356,351018
2020,FL,27,167420,178642,348764
2020,GA,1,184821,143607,332920
2020,GA,2,120713,155087,278161
2020,GA,3,235907,140164,380738
2020,GA,4,72374,281769,357734
2020,GA,5,45867,313230,363251
2020,GA,6,175203,220636,402030
2020,GA,7,175253,199035,379689
2020,GA,8,195888,116946,316168
2020,GA,9,291950,85463,382218
2020,GA,10,230785,151614,387223
2020,GA,11,234956,171688,413288
2020,GA,12,177097,136635,317537
2020,GA,13,85815,277573,367249
2020,GA,14,235208,81060,320276
2020,HI,1,96986,179411,281100
2020,HI,2,99814,186659,293259
2020,ID,1,313559,140452,467557
2020,ID,2,240560,146569,400780
2020,IL,1,85028,246954,336837
2020,IL,2,65329,236640,306049
2020,IL,3,138158,175934,319385
2020,IL,4,43898,184645,233368
2020,IL,5,101619,267680,376477
2020,IL,6,176221,226804,411827
2020,IL,7,41975,274291,321548
2020,IL,8,115348,171840,292689
2020,IL,9,107388,269568,383336
2020,IL,10,110582,207379,323648
2020,IL,11,115078,195555,316880
2020,IL,12,184811,137911,329203
2020,IL,13,170480,158871,337669
2020,IL,14,195286,203744,407458
2020,IL,15,246927,88670,341919
2020,IL,16,197197,140938,345612
2020,IL,17,151009,146349,303081
2020,IL,18,218172,146098,370215
2020,IN,1,147926,177424,331591
2020,IN,2,179007,116992,301114
2020,IN,3,211169,112346,331060
2020,IN,4,219424,117151,344472
2020,IN,5,210257,200457,419387
2020,IN,6,231540,96000,331593
2020,IN,7,99811,177925,283325
2020,IN,8,212167,108018,326301
2020,IN,9,218208,136088,364596
2020,IA,1,213601,199259,421596
2020,IA,2,209858,193437,411705
2020,IA,3,224726,224159,458496
2020,IA,4,249487,142206,399074
2020,KS,1,207727,83890,298130
2020,KS,2,191030,140303,339357
2020,KS,3,179583,223114,411239
2020,KS,4,193066,123016,323577
2020,KY,1,244122,85228,334180
2020,KY,2,246865,111859,365308
2020,KY,3,141027,221843,370170
2020,KY,4,250481,129335,387129
2020,KY,5,241712,56153,301671
2020,KY,6,202439,168056,378259
2020,LA,1,266348,119830,393668
2020,LA,2,80094,258112,343288
2020,LA,3,242734,107458,356323
2020,LA,4,202016,121380,328370
2020,LA,5,214686,113525,333138
2020,LA,6,249898,135729,393153
2020,ME,1,164045,266376,443112
2020,ME,2,196692,168696,376349
2020,MD,1,236906,157430,405209
2020,MD,2,110901,225433,344578
2020,MD,3,112328,263027,385744
2020,MD,4,69533,286724,364700
2020,MD,5,119771,276896,406006
2020,MD,6,140735,227214,377430
2020,MD,7,66703,261237,335782
2020,MD,8,119537,287062,417582
2020,MA,1,135655,224939,369224
2020,MA,2,140377,240547,391238
2020,MA,3,132757,243303,385599
2020,MA,4,144654,276820,431431
2020,MA,5,97562,304072,410477
2020,MA,6,159252,279782,448993
2020,MA,7,43074,276091,325103
2020,MA,8,137738,283426,430560
2020,MA,9,176133,253222,438777
2020,MI,1,244455,171402,422411
2020,MI,2,225408,177044,409870
2020,MI,3,207762,194575,410219
2020,MI,4,234439,142631,383508
2020,MI,5,173212,189227,367855
2020,MI,6,197508,180142,384755
2020,MI,7,224583,164941,396292
2020,MI,8,215649,212085,434738
2020,MI,9,175081,229258,410103
2020,MI,10,273871,146887,426462
2020,MI,11,216799,237696,460743
2020,MI,12,134892,251770,392079
2020,MI,13,58162,229535,291132
2020,MI,14,68031,276847,348045
2020,MN,1,202121,164139,375164
2020,MN,2,197004,226589,434215
2020,MN,3,178214,265537,454144
2020,MN,4,123300,273204,405978
2020,MN,5,72323,328764,410875
2020,MN,6,251056,165370,426847
2020,MN,7,234753,126528,368948
2020,MN,8,225291,166939,400992
2020,MS,1,222287,115883,343127
2020,MS,2,105474,191701,300676
2020,MS,3,210914,135179,350514
2020,MS,4,218056,96731,319474
2020,MO,1,57522,254122,317909
2020,MO,2,223991,220318,453150
2020,MO,3,275741,129115,413005
2020,MO,4,243733,117921,369827
2020,MO,5,142648,206288,356974
2020,MO,6,247238,138964,393422
2020,MO,7,260930,103924,372692
2020,MO,8,260651,72321,337924
2020,MT,AL,343602,244786,603674
2020,NE,1,180290,132261,321886
2020,NE,2,154377,176468,339666
2020,NE,3,222179,65854,294831
2020,NV,1,84964,143410,233334
2020,NV,2,210255,171024,392617
2020,NV,3,213257,214147,435770
2020,NV,4,161358,174857,343613
2020,NH,1,188999,213662,409524
2020,NH,2,176655,211259,394814
2020,NJ,1,142821,242185,391740
2020,NJ,2,192184,181602,379625
2020,NJ,3,218016,217223,442501
2020,NJ,4,236896,191273,434284
2020,NJ,5,202253,225231,435660
2020,NJ,6,139170,191859,336080
2020,NJ,7,195246,239104,443730
2020,NJ,8,69201,182963,255314
2020,NJ,9,118533,199644,322361
2020,NJ,10,45312,254721,302881
2020,NJ,11,208009,237919,453555
2020,NJ,12,113426,242782,362222
2020,NM,1,122226,195608,325378
2020,NM,2,148487,116315,270220
2020,NM,3,130955,187927,324540
2020,NY,1,198826,182793,386329
2020,NY,2,183204,168779,356124
2020,NY,3,175089,216247,395436
2020,NY,4,165073,211700,380697
2020,NY,5,44495,229459,275508
2020,NY,6,92371,152725,247255
2020,NY,7,40366,190811,233221
2020,NY,8,46711,234960,283554
2020,NY,9,50873,232347,285350
2020,NY,10,65611,218141,286527
2020,NY,11,163857,132366,298863
2020,NY,12,49337,280012,332820
2020,NY,13,29526,233234,264872
2020,NY,14,57174,161973,220982
2020,NY,15,25855,171328,198198
2020,NY,16,73665,232782,309170
2020,NY,17,140332,212254,356203
2020,NY,18,166448,184181,355716
2020,NY,19,177569,182965,367482
2020,NY,20,141619,217340,366382
2020,NY,21,175345,141679,323276
2020,NY,22,176465,139592,322784
2020,NY,23,175243,139037,321276
2020,NY,24,155222,186983,349961
2020,NY,25,137342,218504,363605
2020,NY,26,119410,209957,335256
2020,NY,27,224305,162337,394811
2020,NC,1,160225,190636,353759
2020,NC,2,172408,327277,507818
2020,NC,3,226647,140468,372267
2020,NC,4,159083,326921,492268
2020,NC,5,266629,124924,395656
2020,NC,6,155373,257242,417710
2020,NC,7,266887,189064,461518
2020,NC,8,207285,178219,390839
2020,NC,9,214159,176512,395214
2020,NC,10,283446,130911,418981
2020,NC,11,252075,197059,455082
2020,NC,12,126477,316999,449690
2020,NC,13,266419,127555,398505
2020,ND,AL,235595,114902,361819
2020,OH,1,198433,185947,390226
2020,OH,2,214600,165593,385916
2020,OH,3,93890,231278,330494
2020,OH,4,237144,110336,353273
2020,OH,5,237762,141528,385874
2020,OH,6,248554,91296,344239
2020,OH,7,237313,120706,363357
2020,OH,8,243068,119846,368357
2020,OH,9,124569,184337,313540
2020,OH,10,188673,172471,367302
2020,OH,11,60902,252725,316805
2020,OH,12,232901,206386,446172
2020,OH,13,159938,171245,335896
2020,OH,14,222983,185689,413841
2020,OH,15,221898,166098,393949
2020,OH,16,232207,173685,411139
2020,OK,1,202879,125905,337495
2020,OK,2,221123,64353,290575
2020,OK,3,232416,72141,311625
2020,OK,4,208407,102925,319472
2020,OK,5,155455,138566,301532
2020,OR,1,160808,298753,476163
2020,OR,2,261602,197922,473197
2020,OR,3,112555,356659,483453
2020,OR,4,219851,238619,474234
2020,OR,5,203631,248430,467273
2020,PA,1,207433,233446,445566
2020,PA,2,86047,207155,296099
2020,PA,3,31693,356349,391656
2020,PA,4,168203,276497,449403
2020,PA,5,137570,263290,404380
2020,PA,6,170600,232017,407822
2020,PA,7,180615,199073,384272
2020,PA,8,184335,168580,356723
2020,PA,9,232092,122509,359917
2020,PA,10,199207,188308,394110
2020,PA,11,233073,148521,387713
2020,PA,12,232289,107863,345435
2020,PA,13,266382,101991,373040
2020,PA,14,240182,135799,380465
2020,PA,15,250188,96658,351697
2020,PA,16,212103,144530,361576
2020,PA,17,209491,221394,437614
2020,PA,18,134830,252857,393536
2020,RI,1,83607,154430,242810
2020,RI,2,116315,153056,274947
2020,SC,1,222708,197288,427594
2020,SC,2,200210,158948,364935
2020,SC,3,228058,102331,335118
2020,SC,4,215237,140939,362743
2020,SC,5,211989,150853,367759
2020,SC,6,92192,194414,290095
2020,SC,7,214709,146768,365085
2020,SD,AL,261043,150471,422609
2020,TN,1,242684,70462,318553
2020,TN,2,228992,124230,360124
2020,TN,3,219242,110460,335594
2020,TN,4,239420,108746,354594
2020,TN,5,127525,209961,347858
2020,TN,6,273647,96366,376470
2020,TN,7,245870,115156,367582
2020,TN,8,225471,114529,344844
2020,TN,9,48919,193596,246478
2020,TX,1,219683,83200,306601
2020,TX,2,174980,170430,350460
2020,TX,3,214359,209859,432029
2020,TX,4,257487,84709,346480
2020,TX,5,172395,107494,283359
2020,TX,6,175101,164746,344711
2020,TX,7,143176,170060,317565
2020,TX,8,274224,109291,388728
2020,TX,9,54944,178908,236366
2020,TX,10,210815,203922,421768
2020,TX,11,235070,58487,297213
2020,TX,12,224477,140677,371381
2020,TX,13,220060,54081,278087
2020,TX,14,185961,124630,315008
2020,TX,15,115200,120031,237956
2020,TX,16,77673,161215,243210
2020,TX,17,172297,137685,316064
2020,TX,18,57669,189823,250840
2020,TX,19,195938,71250,271180
2020,TX,20,96914,177548,279433
2020,TX,21,232811,220450,461348
2020,TX,22,210011,206114,422323
2020,TX,23,151578,145969,301868
2020,TX,24,161671,180609,347789
2020,TX,25,216248,177875,401008
2020,TX,26,248196,185956,441473
2020,TX,27,170876,104470,279057
2020,TX,28,115266,125463,243780
2020,TX,29,52937,106229,161082
2020,TX,30,50270,212373,266014
2020,TX,31,204096,192599,405207
2020,TX,32,151944,187919,345303
2020,TX,33,41209,117340,160781
2020,TX,34,98386,106812,207204
2020,TX,35,84766,187992,278285
2020,TX,36,221600,82881,308193
2020,UT,1,230315,113344,358820
2020,UT,2,207621,148903,370121
2020,UT,3,225831,131844,374689
2020,UT,4,201373,166191,384047
2020,VT,AL,112704,242820,367428
2020,VA,1,233151,213139,454745
2020,VA,2,168746,184886,361515
2020,VA,3,107942,230143,344714
2020,VA,4,146803,245932,399519
2020,VA,5,217584,183170,407348
2020,VA,6,231005,149404,389267
2020,VA,7,223199,228179,459800
2020,VA,8,84711,311470,404781
2020,VA,9,244958,98609,348604
2020,VA,10,189314,281722,480756
2020,VA,11,112774,280187,400973
2020,WA,1,166460,257631,439159
2020,WA,2,145138,257291,416933
2020,WA,3,214391,198429,426189
2020,WA,4,179022,122691,311336
2020,WA,5,215706,178895,409448
2020,WA,6,168250,244141,428122
2020,WA,7,58832,410067,481203
2020,WA,8,190801,218274,422538
2020,WA,9,88993,265393,364203
2020,WA,10,157058,216800,388500
2020,WV,1,183904,81849,270510
2020,WV,2,184784,92623,282556
2020,WV,3,176694,61512,241586
2020,WI,1,220664,182938,410455
2020,WI,2,136439,323807,468136
2020,WI,3,202659,184306,394654
2020,WI,4,71698,242003,318671
2020,WI,5,255819,187858,451195
2020,WI,6,232818,170457,410740
2020,WI,7,248822,165104,421027
2020,WI,8,241140,174136,422411
2020,WY,AL,193559,73491,276765
