year,abbr,pres_margin,pres_margin_str,relative_margin,relative_margin_str,national_margin,national_margin_str,electoral_votes
2028,IL,0.15261520918066468,D+15.3,0.13837642620479942,D+14.2,0.01105059612098691,D+1.1,19
2028,IN,-0.09957627221011459,R+10.0,-0.11381505518597984,R+11.1,0.01105059612098691,D+1.1,11
2028,KS,-0.0036302979436592907,R+0.4,-0.01786908091952455,R+1.5,0.01105059612098691,D+1.1,6
2028,KY,-0.17238360930722205,R+17.2,-0.1866223922830873,R+18.3,0.01105059612098691,D+1.1,8
2028,LA,-0.06172017978147523,R+6.2,-0.07595896275734049,R+7.3,0.01105059612098691,D+1.1,8
2028,MA,0.21112421451596783,D+21.1,0.19688543154010257,D+20.0,0.01105059612098691,D+1.1,11
2028,MD,0.2857762677052739,D+28.6,0.27153748472940864,D+27.5,0.01105059612098691,D+1.1,10
2028,ME,0.11763089284703458,D+11.8,0.10339210987116933,D+10.7,0.01105059612098691,D+1.1,4
2028,MI,0.10057076319051157,D+10.1,0.08633198021464632,D+9.0,0.01105059612098691,D+1.1,15
2028,MN,0.03265504835843437,D+3.3,0.018416265382569116,D+2.2,0.01105059612098691,D+1.1,10
2028,MO,-0.03311924430106972,R+3.3,-0.04735802727693497,R+4.4,0.01105059612098691,D+1.1,10
2028,MS,-0.21487768563668827,R+21.5,-0.22911646861255353,R+22.6,0.01105059612098691,D+1.1,6
2028,MT,-0.17404553129140768,R+17.4,-0.18828431426727293,R+18.5,0.01105059612098691,D+1.1,4
2028,NC,-0.00787751204922046,R+0.8,-0.02211629502508572,R+1.9,0.01105059612098691,D+1.1,16
2028,ND,-0.16737898519954383,R+16.7,-0.1816177681754091,R+17.8,0.01105059612098691,D+1.1,3
2028,NE,-0.14684163663943736,R+14.7,-0.16108041961530262,R+15.8,0.01105059612098691,D+1.1,5
2028,NH,0.052746404903487636,D+5.3,0.03850762192762238,D+4.2,0.01105059612098691,D+1.1,4
2028,NJ,0.0973832546561495,D+9.7,0.08314447168028424,D+8.6,0.01105059612098691,D+1.1,14
2028,NM,0.039279890765214126,D+3.9,0.02504110778934887,D+2.8,0.01105059612098691,D+1.1,5
