index,color
CA,BLUE
CO,BLUE
CT,BLUE
DC,BLUE
DE,BLUE
HI,BLUE
IL,BLUE
MA,BLUE
MD,BLUE
ME-01,BLUE
ME-AL,BLUE
MI,BLUE
MN,BLUE
NC,BLUE
NE-02,BLUE
NH,BLUE
NJ,BLUE
NM,BLUE
NV,BLUE
NY,BLUE
OR,BLUE
PA,BLUE
RI,BLUE
VA,BLUE
VT,BLUE
WA,BLUE
WI,BLUE
MO,blue
NE-03,RED
WY,RED
